Run,Seed,Best_Fitness,Best_Energy_J,Best_Delay_Hops,Min_Residual_J
1,42,0.8682757364903916,0.02166954367476355,1.75,1.998022197810788
2,43,0.8628384449434624,0.023093134917804264,1.825,1.9938210029654115
3,44,0.8684549845327697,0.021608817009900555,1.75,1.9976765710502946
4,45,0.8699709101652437,0.021231700708954856,1.725,1.9975417804996294
5,46,0.8680637691408128,0.021734210528575174,1.75,1.9965222109102367
6,47,0.8752813374081141,0.019860860202017556,1.65,1.9969141648250843
7,48,0.8748546404958093,0.02000283182588829,1.65,1.9976225354989463
8,49,0.8737756096585632,0.020232397585985887,1.675,1.9980687246402902
9,50,0.8638529121767656,0.022764595335690696,1.825,1.9969315634361544
10,51,0.8733767455974883,0.020361327742476412,1.675,1.9976067711953296
11,52,0.8614266646623205,0.023451996589129866,1.85,1.9962113171965348
12,53,0.8817375077810103,0.018273793613672987,1.55,1.9980551843939025
13,54,0.8745049610820306,0.020116140749329745,1.65,1.997368312791583
14,55,0.882025657058086,0.01818137450592334,1.55,1.998110482648668
15,56,0.8618219599364046,0.02331927848768658,1.85,1.9963166613989791
16,57,0.8718369433879797,0.02074378325130448,1.7,1.9981125993851365
17,58,0.8844788432738458,0.017646873285475505,1.5,1.9985477063946262
18,59,0.8630307959657161,0.023037948549171156,1.825,1.9963128663509275
19,60,0.8794676062548231,0.01887605719058489,1.575,1.9968505869686954
20,61,0.8731027618363955,0.020452765112204792,1.675,1.9980357660811021
21,62,0.8835940347410518,0.01792592621962844,1.5,1.9974863757291552
22,63,0.8814817772256541,0.01835737231407049,1.55,1.998407160378568
23,64,0.8632481851928475,0.022968893697446088,1.825,1.9973478703799925
24,65,0.876863829394207,0.019474884678927384,1.625,1.998109177504231
25,66,0.8743864664172831,0.02015594142780159,1.65,1.9976501363529973
26,67,0.8647637453914245,0.022584651235216587,1.8,1.9968982237719703
27,68,0.8786729434268049,0.01901110177769211,1.6,1.9976377834012187
28,69,0.8735247349485589,0.020306586695729267,1.675,1.995946425071137
29,70,0.8557078335653835,0.024889728702116184,1.95,1.9957255577528294
30,71,0.8814936177892239,0.01835082929475032,1.55,1.9976796752144617
